COD_FEDERAL,NOMBRE_ESTADO,NOMBRE,PERIODO_ANIO,TASA_ABANDONO_PRIMARIA,INASISTENCIA_3_A_15,CARENCIA_SALUD,INSEG_ALIMENTARIA,INGRESO_MENSUAL_POR_ESTADO,VIVIENDA_PISO_TIERRA,PORCENTAJE_RAZON_INGRESO,VULNERABLE_CARENCIA
,JALISCO,JALISCO,2023,0.5,215.7,55.9,14.7,7 482.4,1.5,0.918,37.8
,JALISCO,JALISCO,2024,0.6,211.3,53.5,9.6,8 644.9,0.6,0.483,35.8
,ESTADO_MEXICO,ESTADO DE MEXICO,2021,1.5,295.1,65.3,20,5 614.4,1.8,2.985,26.3
,ESTADO_MEXICO,ESTADO DE MEXICO,2022,-0.5,313.6,60.8,24,5 317.7,0.9,5.088,18.1
,ESTADO_MEXICO,ESTADO DE MEXICO,2023,0.5,303.8,63.3,19.1,5 558.0,1.1,3.934,23.4
,ESTADO_MEXICO,ESTADO DE MEXICO,2024,0.6,206.3,61.6,16.1,6 770.0,1.2,1.91,31.2
,MICHOCAN,MICHOCAN,2021,2,122.5,77.3,21.6,5 387.8,3.3,4.111,32.9
,MICHOCAN,MICHOCAN,2022,-1.1,153.9,76.1,21.7,5 368.3,4.7,6.44,33.9
,MICHOCAN,MICHOCAN,2023,1,140.8,76.8,19.1,6 069.7,4.6,6.185,36.3
,MICHOCAN,MICHOCAN,2024,2.2,110.4,73.9,16.1,6 607.8,4.6,3.588,40.6
,MORELOS,MORELOS,2021,1,42.3,76.6,21.7,5 251.9,3.5,4.961,28.8
,MORELOS,MORELOS,2022,0.6,42.9,74.4,23.3,4 942.5,2.3,6.731,23.7
,MORELOS,MORELOS,2023,1,33.1,73.8,19.9,6 112.1,2.8,3.754,30.8
,MORELOS,MORELOS,2024,1.3,30.6,71.9,16.5,6 507.6,2.1,2.941,33.4
,NAYARIT,NAYARIT,2021,0.2,28.7,69,17.8,6 298.4,4.7,2.061,31.7
,NAYARIT,NAYARIT,2022,-0.4,22,67.8,17.6,6 554.7,2.4,1.561,35.4
