INEGI. Pobreza Multidimensional (PM) 2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Situación de vulnerabilidad, según entidad federativa",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cuadro 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(miles de personas, porcentaje y carencias promedio)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Índice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Entidad federativa,,,,Vulnerable por carencias sociales,,,,,,,,,,,,,,,,,,Vulnerable por ingresos,,,,,,,,,,,,No pobre y no vulnerable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Población,,,,,,Porcentaje,,,,,,Carencias promedio,,,,,,Población,,,,,,Porcentaje,,,,,,Población,,,,,,Porcentaje,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2016,2018,2020,2022,2024,,2016,2018,2020,2022,2024,,2016,2018,2020,2022,2024,,2016,2018,2020,2022,2024,,2016,2018,2020,2022,2024,,2016,2018,2020,2022,2024,,2016,2018,2020,2022,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Durango,,,, 458.9, 415.0, 430.8, 526.1, 573.3,, 26.2, 23.2, 23.3, 28.2, 30.2,, 1.6, 1.6, 1.8, 1.9, 1.8,, 189.2, 220.2, 228.9, 171.4, 142.0,, 10.8, 12.3, 12.4, 9.2, 7.5,, 451.2, 460.9, 474.1, 529.9, 652.8,, 25.8, 25.7, 25.6, 28.4, 34.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guanajuato,,,,1 863.8,1 783.0,1 745.5,2 138.9,2 361.5,, 31.4, 29.4, 28.2, 34.1, 37.4,, 1.7, 1.7, 1.8, 1.9, 1.9,, 448.9, 474.7, 519.8, 524.3, 383.9,, 7.6, 7.8, 8.4, 8.4, 6.1,,1 292.1,1 296.0,1 284.1,1 540.6,1 932.8,, 21.7, 21.3, 20.7, 24.5, 30.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guerrero,,,, 716.1, 707.3, 771.0, 943.8,1 017.1,, 20.6, 20.2, 21.7, 26.2, 28.2,, 2.1, 2.0, 2.3, 2.6, 2.2,, 116.3, 141.3, 142.7, 121.3, 97.4,, 3.4, 4.0, 4.0, 3.4, 2.7,, 318.4, 276.3, 281.8, 362.5, 397.0,, 9.2, 7.9, 7.9, 10.1, 11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hidalgo,,,, 707.2, 954.9, 830.6,1 167.3,1 196.0,, 24.0, 31.4, 26.8, 37.0, 37.0,, 1.8, 1.8, 1.9, 2.1, 2.1,, 165.7, 162.0, 199.9, 160.2, 188.1,, 5.6, 5.3, 6.5, 5.1, 5.8,, 395.0, 408.2, 493.7, 535.3, 705.5,, 13.4, 13.4, 16.0, 17.0, 21.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jalisco,,,,2 518.2,2 793.7,2 376.6,3 213.4,3 123.0,, 31.6, 34.0, 28.4, 37.8, 35.8,, 1.6, 1.7, 1.9, 1.9, 1.9,, 634.1, 681.6, 817.6, 622.2, 474.5,, 8.0, 8.3, 9.8, 7.3, 5.4,,2 385.1,2 460.6,2 555.0,2 809.2,3 505.4,, 29.9, 29.9, 30.5, 33.0, 40.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
México,,,,3 439.0,4 424.5,3 090.0,4 062.2,5 527.7,, 20.8, 26.3, 18.1, 23.4, 31.2,, 1.7, 1.8, 1.9, 2.0, 1.9,,1 654.4,1 615.9,2 014.8,1 745.0,1 253.9,, 10.0, 9.6, 11.8, 10.1, 7.1,,3 709.2,3 766.8,3 625.4,4 088.4,5 415.9,, 22.5, 22.4, 21.2, 23.6, 30.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michoacán de Ocampo,,,,1 248.0,1 534.5,1 623.2,1 796.2,2 005.8,, 27.8, 32.9, 33.9, 36.3, 40.6,, 2.1, 1.9, 2.1, 2.3, 2.2,, 222.3, 245.0, 255.8, 229.3, 204.3,, 5.0, 5.3, 5.3, 4.6, 4.1,, 585.5, 726.8, 781.2, 854.4,1 034.9,, 13.1, 15.6, 16.3, 17.3, 21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morelos,,,, 504.7, 565.6, 468.6, 619.9, 657.8,, 26.3, 28.8, 23.7, 30.8, 33.4,, 1.8, 1.8, 1.9, 2.2, 2.0,, 135.2, 115.6, 179.9, 135.1, 117.2,, 7.1, 5.9, 9.1, 6.7, 5.9,, 381.3, 328.8, 320.9, 429.7, 499.8,, 19.9, 16.8, 16.2, 21.4, 25.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nayarit,,,, 348.8, 387.1, 438.1, 472.3, 467.0,, 29.5, 31.7, 35.4, 37.4, 37.6,, 1.8, 1.7, 1.8, 1.9, 1.9,, 76.0, 72.8, 87.4, 75.6, 57.7,, 6.4, 6.0, 7.1, 6.0, 4.6,, 306.3, 325.6, 336.4, 344.1, 425.9,, 25.9, 26.6, 27.2, 27.3, 34.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nuevo León,,,,1 485.4,1 394.7,1 433.3,1 722.8,1 753.2,, 28.0, 25.3, 24.5, 28.4, 28.6,, 1.6, 1.6, 1.7, 1.8, 1.7,, 488.1, 657.9, 662.8, 583.8, 450.7,, 9.2, 12.0, 11.3, 9.6, 7.4,,2 325.4,2 383.2,2 335.7,2 779.6,3 277.0,, 43.9, 43.3, 39.9, 45.9, 53.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
