,,,,,,,,,,,,,,,,Seguro Popular o INSABI4/,,,,,IMSS,,,,,,IMSS-Prospera o   IMSS-Bienestar5/,,,,,,ISSSTE,,,,,,ISSSTE estatal,,,,,,"Pemex, Defensa o Marina",,,,,,"Centro de salud, hospital o instituto público de salud6/",,,,,,Seguro privado de gastos médicos7/,,,,,,Otra institución médica,,,,,,Acceso indirecto8/,,,,,,,,,,,,,,,,,,Seguro Popular o INSABI4/,,,,,IMSS,,,,,,IMSS-Prospera o   IMSS-Bienestar5/,,,,,,ISSSTE,,,,,,ISSSTE estatal,,,,,,"Pemex, Defensa o Marina",,,,,,"Centro de salud, hospital o instituto público de salud6/",,,,,,Seguro privado de gastos médicos7/,,,,,,Otra institución médica,,,,,,Acceso indirecto8/,,,,,
,,,,2016,2018,2020,2022,2024,,2016,2018,2020,2022,2024,,2016,2018,2020,2022,,2016,2018,2020,2022,2024,,2016,2018,2020,2022,2024,,2016,2018,2020,2022,2024,,2016,2018,2020,2022,2024,,2016,2018,2020,2022,2024,,2016,2018,2020,2022,2024,,2016,2018,2020,2022,2024,,2016,2018,2020,2022,2024,,2016,2018,2020,2022,2024,,2016,2018,2020,2022,2024,,2016,2018,2020,2022,2024,,2016,2018,2020,2022,,2016,2018,2020,2022,2024,,2016,2018,2020,2022,2024,,2016,2018,2020,2022,2024,,2016,2018,2020,2022,2024,,2016,2018,2020,2022,2024,,2016,2018,2020,2022,2024,,2016,2018,2020,2022,2024,,2016,2018,2020,2022,2024,,2016,2018,2020,2022,2024,
Chihuahua,,,, 716.2, 743.2, 697.5, 726.0, 777.1,, 254.3, 214.8, 387.1, 471.3, 447.4,,1 230.6,1 092.5, 760.8, 510.1,,1 852.3,1 964.8,1 997.4,2 156.5,2 195.9,, 6.7, 17.6, 25.5, 12.3, 128.2,, 177.2, 150.6, 170.8, 116.8, 163.6,, 17.6, 99.2, 137.4, 114.9, 136.8,, 8.5, 6.4, 10.2, 7.5, 8.7,,NA,NA,NA,NA, 267.4,, 40.6, 53.1, 59.3, 44.1, 82.3,, 139.2, 63.3, 78.1, 62.9, 31.0,, 80.0, 95.7, 116.6, 118.7, 114.1,, 45.3, 45.1, 42.4, 41.4, 42.0,, 12.6, 10.6, 18.3, 22.9, 22.0,, 34.2, 29.7, 20.2, 13.4,, 51.5, 53.4, 53.1, 56.6, 56.5,, 0.2, 0.5, 0.7, 0.3, 3.3,, 4.9, 4.1, 4.5, 3.1, 4.2,, 0.5, 2.7, 3.6, 3.0, 3.5,, 0.2, 0.2, 0.3, 0.2, 0.2,,NA,NA,NA,NA, 6.9,, 1.1, 1.4, 1.6, 1.2, 2.1,, 3.9, 1.7, 2.1, 1.7, 0.8,, 2.2, 2.6, 3.1, 3.1, 2.9,
Ciudad de México,,,,2 370.4,2 320.1,1 984.0,2 317.3,2 327.9,, 855.1, 884.8,1 348.0,1 263.2, 917.0,,2 409.2,2 242.5,1 375.4,1 028.7,,3 923.1,3 904.0,4 006.0,4 152.6,4 518.2,, 2.9, 6.1, 17.8, 33.3, 265.6,,1 089.5,1 204.6,1 316.3,1 259.9,1 163.1,, 14.8, 18.5, 26.8, 24.4, 27.6,, 65.4, 85.1, 81.5, 57.2, 93.0,,NA,NA,NA,NA, 968.7,, 142.0, 161.7, 138.7, 280.1, 314.6,, 94.6, 189.4, 68.6, 133.1, 32.8,, 267.1, 207.0, 244.5, 336.8, 177.8,, 53.6, 52.6, 48.2, 51.1, 49.2,, 18.2, 18.5, 26.4, 26.5, 19.9,, 26.4, 24.4, 14.9, 11.1,, 43.0, 42.5, 43.4, 44.6, 48.3,, 0.0, 0.1, 0.2, 0.4, 2.8,, 12.0, 13.1, 14.3, 13.5, 12.4,, 0.2, 0.2, 0.3, 0.3, 0.3,, 0.7, 0.9, 0.9, 0.6, 1.0,,NA,NA,NA,NA, 10.4,, 1.6, 1.8, 1.5, 3.0, 3.4,, 1.0, 2.1, 0.7, 1.4, 0.4,, 2.9, 2.3, 2.6, 3.6, 1.9,
Durango,,,, 459.4, 422.1, 473.9, 495.6, 502.4,, 124.1, 122.2, 231.7, 320.6, 312.0,, 749.6, 701.3, 505.2, 355.5,, 697.8, 762.4, 766.1, 778.6, 808.1,, 11.2, 3.2, 7.3, 5.2, 25.9,, 189.5, 177.1, 173.9, 167.0, 203.9,, 1.2, 3.5, 0.2, 0.3, 1.1,, 7.9, 4.5, 3.9, 9.1, 14.5,,NA,NA,NA,NA, 224.5,, 7.1, 13.0, 9.2, 10.0, 11.1,, 4.6, 3.6, 5.8, 7.1, 1.5,, 28.2, 25.0, 38.1, 46.7, 46.1,, 60.0, 57.2, 59.6, 60.2, 57.1,, 12.6, 11.6, 22.0, 30.7, 30.7,, 42.8, 39.2, 27.3, 19.0,, 39.9, 42.6, 41.4, 41.7, 42.6,, 0.6, 0.2, 0.4, 0.3, 1.4,, 10.8, 9.9, 9.4, 8.9, 10.7,, 0.1, 0.2, 0.0, 0.0, 0.1,, 0.5, 0.3, 0.2, 0.5, 0.8,,NA,NA,NA,NA, 11.8,, 0.4, 0.7, 0.5, 0.5, 0.6,, 0.3, 0.2, 0.3, 0.4, 0.1,, 1.6, 1.4, 2.1, 2.5, 2.4,
Guanajuato,,,,1 778.2,1 673.8,1 705.3,1 815.0,1 623.7,, 378.8, 406.6, 824.4,1 080.8,1 178.4,,2 933.7,2 844.6,1 939.7,1 310.5,,2 139.2,2 201.4,2 372.9,2 415.4,2 568.9,, 31.7, 8.6, 36.2, 10.0, 20.1,, 288.4, 243.4, 253.0, 239.9, 293.2,, 27.0, 28.9, 39.3, 45.1, 94.3,, 32.5, 21.7, 31.9, 26.3, 56.2,,NA,NA,NA,NA, 946.1,, 48.5, 19.0, 25.9, 28.7, 37.7,, 22.2, 11.0, 5.5, 18.5, 22.8,, 112.6, 85.3, 152.2, 228.6, 206.3,, 64.9, 61.5, 61.2, 62.4, 57.1,, 11.8, 12.1, 24.2, 32.1, 33.9,, 49.4, 46.8, 31.3, 20.9,, 36.0, 36.2, 38.3, 38.5, 40.6,, 0.5, 0.1, 0.6, 0.2, 0.3,, 4.9, 4.0, 4.1, 3.8, 4.6,, 0.5, 0.5, 0.6, 0.7, 1.5,, 0.5, 0.4, 0.5, 0.4, 0.9,,NA,NA,NA,NA, 15.0,, 0.8, 0.3, 0.4, 0.5, 0.6,, 0.4, 0.2, 0.1, 0.3, 0.4,, 1.9, 1.4, 2.5, 3.6, 3.3,
Guerrero,,,,1 355.2,1 440.3,1 401.2,1 445.8,1 497.5,, 212.8, 206.6, 589.0, 940.2, 654.1,,2 336.9,2 299.3,1 527.3, 784.3,, 493.8, 462.4, 493.0, 503.8, 557.9,, 25.2, 5.1, 1.7, 14.7, 348.2,, 287.6, 286.7, 295.2, 348.5, 272.2,, 0.0, 30.2, 29.6, 14.0, 36.3,, 50.8, 34.1, 61.3, 41.6, 46.1,,NA,NA,NA,NA, 936.5,, 13.3, 7.5, 7.5, 9.4, 3.6,, 1.5, 0.7, 7.5, 1.6, 0.5,, 28.2, 27.6, 40.9, 62.1, 43.0,, 84.1, 83.6, 84.4, 83.2, 84.2,, 11.5, 11.6, 31.0, 50.5, 35.8,, 67.4, 65.6, 42.9, 21.8,, 14.2, 13.2, 13.9, 14.0, 15.5,, 0.7, 0.1, 0.0, 0.4, 9.7,, 8.3, 8.2, 8.3, 9.7, 7.6,, 0.0, 0.9, 0.8, 0.4, 1.0,, 1.5, 1.0, 1.7, 1.2, 1.3,,NA,NA,NA,NA, 26.0,, 0.4, 0.2, 0.2, 0.3, 0.1,, 0.0, 0.0, 0.2, 0.0, 0.0,, 0.8, 0.8, 1.1, 1.7, 1.2,
Hidalgo,,,,1 097.3,1 228.4,1 164.6,1 303.0,1 166.0,, 175.4, 170.4, 389.3, 727.5, 684.7,,1 871.1,1 815.6,1 337.7, 478.4,, 579.5, 627.5, 702.8, 745.7, 945.0,, 53.3, 6.8, 12.8, 29.7, 136.0,, 169.8, 207.5, 209.4, 249.3, 199.5,, 3.4, 3.0, 0.8, 1.9, 4.9,, 32.2, 11.1, 27.4, 25.6, 25.6,,NA,NA,NA,NA, 439.1,, 8.3, 11.1, 11.6, 18.9, 25.0,, 14.0, 11.4, 8.5, 15.8, 6.0,, 28.8, 39.3, 57.9, 80.6, 65.5,, 80.2, 81.0, 79.1, 79.6, 74.9,, 11.1, 11.2, 24.0, 47.8, 40.9,, 63.6, 59.7, 43.2, 15.2,, 19.7, 20.6, 22.7, 23.6, 29.3,, 1.8, 0.2, 0.4, 0.9, 4.2,, 5.8, 6.8, 6.8, 7.9, 6.2,, 0.1, 0.1, 0.0, 0.1, 0.2,, 1.1, 0.4, 0.9, 0.8, 0.8,,NA,NA,NA,NA, 13.6,, 0.3, 0.4, 0.4, 0.6, 0.8,, 0.5, 0.4, 0.3, 0.5, 0.2,, 1.0, 1.3, 1.9, 2.6, 2.0,
Jalisco,,,,2 246.3,2 340.2,2 113.9,2 265.9,2 350.0,, 622.5, 764.8,1 459.2,1 666.4,1 376.1,,2 912.7,2 544.1,1 193.4, 608.7,,3 704.6,3 822.7,4 100.9,4 264.7,4 678.7,, 1.5, 0.5, 1.9, 18.1, 24.2,, 222.3, 272.7, 198.3, 228.7, 210.4,, 3.9, 4.5, 9.8, 13.6, 13.0,, 6.6, 30.3, 28.6, 23.0, 26.0,,NA,NA,NA,NA, 673.0,, 81.7, 105.5, 110.1, 79.4, 125.6,, 36.6, 73.6, 38.6, 33.7, 45.5,, 210.3, 222.2, 280.3, 300.0, 231.4,, 58.4, 59.5, 56.7, 55.9, 53.5,, 15.1, 17.8, 31.4, 37.5, 31.7,, 36.6, 30.9, 14.2, 7.2,, 46.5, 46.5, 48.9, 50.2, 53.6,, 0.0, 0.0, 0.0, 0.2, 0.3,, 2.8, 3.3, 2.4, 2.7, 2.4,, 0.0, 0.1, 0.1, 0.2, 0.1,, 0.1, 0.4, 0.3, 0.3, 0.3,,NA,NA,NA,NA, 7.7,, 1.0, 1.3, 1.3, 0.9, 1.4,, 0.5, 0.9, 0.5, 0.4, 0.5,, 2.6, 2.7, 3.3, 3.5, 2.7,
México,,,,4 410.0,5 065.6,4 521.5,5 163.4,5 234.8,,1 298.6,1 625.6,3 298.1,4 033.4,3 534.4,,7 274.8,6 564.1,3 362.4,1 566.2,,5 799.7,5 791.4,6 296.2,6 207.6,7 279.2,, 29.6, 12.0, 15.5, 26.0, 233.4,, 846.0, 774.8, 736.7, 671.6, 723.7,, 707.7, 715.1, 652.4, 818.2, 617.6,, 172.7, 111.1, 73.7, 116.3, 131.1,,NA,NA,NA,NA,1 002.2,, 121.2, 155.9, 69.2, 118.0, 186.7,, 89.2, 57.2, 89.2, 82.6, 42.0,, 264.9, 325.0, 442.9, 522.1, 505.4,, 63.1, 65.3, 60.8, 63.3, 61.6,, 13.7, 17.9, 34.2, 44.0, 38.3,, 44.1, 39.0, 19.7, 9.0,, 35.2, 34.4, 36.9, 35.8, 41.1,, 0.2, 0.1, 0.1, 0.2, 1.3,, 5.1, 4.6, 4.3, 3.9, 4.1,, 4.3, 4.2, 3.8, 4.7, 3.5,, 1.0, 0.7, 0.4, 0.7, 0.7,,NA,NA,NA,NA, 5.7,, 0.7, 0.9, 0.4, 0.7, 1.1,, 0.5, 0.3, 0.5, 0.5, 0.2,, 1.6, 1.9, 2.6, 3.0, 2.9,
Michoacán de Ocampo,,,,1 696.9,1 705.6,1 721.8,1 828.7,1 810.5,, 493.0, 461.6, 973.7,1 314.7,1 119.1,,2 332.0,2 354.2,1 387.6, 719.6,,1 036.0,1 121.4,1 261.1,1 246.0,1 430.2,, 85.1, 28.6, 7.4, 8.7, 231.8,, 197.9, 264.1, 278.5, 320.4, 294.0,, 3.4, 4.5, 4.7, 1.9, 15.0,, 16.9, 15.8, 7.6, 19.9, 13.0,,NA,NA,NA,NA, 558.8,, 15.8, 18.3, 23.3, 24.6, 35.5,, 12.9, 13.7, 4.1, 10.0, 4.4,, 69.7, 81.0, 102.3, 142.0, 141.6,, 79.9, 77.3, 76.1, 76.8, 73.9,, 20.9, 18.8, 38.4, 51.3, 45.0,, 52.0, 50.5, 28.9, 14.6,, 23.1, 24.1, 26.3, 25.2, 29.0,, 1.9, 0.6, 0.2, 0.2, 4.7,, 4.4, 5.7, 5.8, 6.5, 6.0,, 0.1, 0.1, 0.1, 0.0, 0.3,, 0.4, 0.3, 0.2, 0.4, 0.3,,NA,NA,NA,NA, 11.3,, 0.4, 0.4, 0.5, 0.5, 0.7,, 0.3, 0.3, 0.1, 0.2, 0.1,, 1.6, 1.7, 2.1, 2.9, 2.9,
Morelos,,,, 676.5, 718.4, 700.5, 725.4, 696.5,, 123.9, 140.2, 306.6, 451.5, 417.0,,1 003.9, 997.4, 609.6, 261.5,, 576.9, 558.5, 588.2, 629.6, 685.2,, 0.3, 0.6, 1.9, 1.4, 27.3,, 121.2, 111.6, 138.3, 151.0, 141.8,, 0.8, 0.9, 2.0, 0.3, 2.4,, 12.1, 6.2, 10.6, 11.4, 18.1,,NA,NA,NA,NA, 201.1,, 13.7, 8.9, 9.7, 11.8, 8.1,, 9.5, 11.2, 6.1, 12.9, 1.5,, 28.1, 25.9, 40.3, 47.2, 38.8,, 74.6, 76.6, 74.4, 73.8, 71.9,, 12.3, 13.7, 29.6, 44.0, 41.6,, 52.4, 50.8, 30.8, 13.0,, 30.1, 28.5, 29.8, 31.3, 34.7,, 0.0, 0.0, 0.1, 0.1, 1.4,, 6.3, 5.7, 7.0, 7.5, 7.2,, 0.0, 0.0, 0.1, 0.0, 0.1,, 0.6, 0.3, 0.5, 0.6, 0.9,,NA,NA,NA,NA, 10.2,, 0.7, 0.5, 0.5, 0.6, 0.4,, 0.5, 0.6, 0.3, 0.6, 0.1,, 1.5, 1.3, 2.0, 2.4, 2.0,
