,,,,Población en viviendas con pisos de tierra,,,,,,Población en viviendas con techos de material endeble,,,,,,Población en viviendas con muros de material endeble,,,,,,Población en viviendas con hacinamiento,,,,,,Población en viviendas con pisos de tierra,,,,,,Población en viviendas con techos de material endeble,,,,,,Población en viviendas con muros de material endeble,,,,,,Población en viviendas con hacinamiento,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2016,2018,2020,2022,2024,,2016,2018,2020,2022,2024,,2016,2018,2020,2022,2024,,2016,2018,2020,2022,2024,,2016,2018,2020,2022,2024,,2016,2018,2020,2022,2024,,2016,2018,2020,2022,2024,,2016,2018,2020,2022,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ciudad de México,,,, 14.2, 40.4, 10.8, 41.6, 41.5,, 115.8, 92.2, 36.9, 81.4, 51.0,, 43.7, 85.2, 50.6, 33.6, 26.1,, 453.1, 370.6, 410.2, 265.8, 309.7,, 0.2, 0.4, 0.1, 0.4, 0.4,, 1.3, 1.0, 0.4, 0.9, 0.5,, 0.5, 0.9, 0.5, 0.4, 0.3,, 5.0, 4.0, 4.4, 2.9, 3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Durango,,,, 29.7, 23.5, 22.2, 74.1, 54.5,, 9.9, 6.6, 12.2, 11.4, 14.1,, 6.0, 6.0, 6.7, 7.8, 12.4,, 90.0, 58.7, 74.2, 87.4, 86.3,, 1.7, 1.3, 1.2, 4.0, 2.9,, 0.6, 0.4, 0.7, 0.6, 0.7,, 0.3, 0.3, 0.4, 0.4, 0.7,, 5.1, 3.3, 4.0, 4.7, 4.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guanajuato,,,, 90.2, 94.4, 91.8, 89.1, 68.3,, 19.7, 18.3, 11.1, 39.2, 13.5,, 34.3, 22.3, 17.6, 22.8, 44.8,, 353.0, 451.9, 265.4, 263.5, 197.3,, 1.5, 1.6, 1.5, 1.4, 1.1,, 0.3, 0.3, 0.2, 0.6, 0.2,, 0.6, 0.4, 0.3, 0.4, 0.7,, 5.9, 7.4, 4.3, 4.2, 3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guerrero,,,, 473.5, 423.2, 355.8, 422.6, 513.9,, 155.0, 115.0, 72.4, 68.7, 52.5,, 117.0, 95.3, 82.5, 96.7, 79.6,, 799.9, 676.7, 651.0, 641.3, 589.1,, 13.6, 12.1, 10.0, 11.7, 14.3,, 4.5, 3.3, 2.0, 1.9, 1.5,, 3.4, 2.7, 2.3, 2.7, 2.2,, 23.1, 19.3, 18.3, 17.8, 16.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hidalgo,,,, 113.9, 121.4, 85.8, 71.0, 76.3,, 39.7, 35.5, 12.9, 27.4, 10.4,, 56.8, 39.2, 46.3, 38.0, 28.4,, 195.2, 148.9, 134.9, 112.2, 109.0,, 3.9, 4.0, 2.8, 2.2, 2.4,, 1.3, 1.2, 0.4, 0.9, 0.3,, 1.9, 1.3, 1.5, 1.2, 0.9,, 6.6, 4.9, 4.4, 3.6, 3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jalisco,,,, 45.9, 125.0, 127.3, 126.5, 48.8,, 36.6, 20.9, 14.7, 15.8, 26.1,, 14.9, 49.9, 26.7, 21.8, 46.7,, 389.0, 431.3, 407.2, 306.5, 182.6,, 0.6, 1.5, 1.5, 1.5, 0.6,, 0.5, 0.3, 0.2, 0.2, 0.3,, 0.2, 0.6, 0.3, 0.3, 0.5,, 4.9, 5.2, 4.9, 3.6, 2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
México,,,, 420.6, 304.4, 161.9, 195.8, 212.4,, 294.1, 369.2, 296.1, 230.8, 113.9,, 150.7, 48.2, 151.5, 100.5, 142.0,,1 587.2,1 149.6, 774.5, 724.4, 609.2,, 2.5, 1.8, 0.9, 1.1, 1.2,, 1.8, 2.2, 1.7, 1.3, 0.6,, 0.9, 0.3, 0.9, 0.6, 0.8,, 9.6, 6.8, 4.5, 4.2, 3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michoacán de Ocampo,,,, 221.8, 153.4, 227.7, 225.2, 228.6,, 205.8, 176.5, 125.1, 174.6, 190.5,, 71.9, 36.5, 27.0, 15.9, 42.7,, 361.0, 375.8, 311.9, 243.0, 223.6,, 4.9, 3.3, 4.7, 4.6, 4.6,, 4.6, 3.8, 2.6, 3.5, 3.9,, 1.6, 0.8, 0.6, 0.3, 0.9,, 8.0, 8.1, 6.5, 4.9, 4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morelos,,,, 54.0, 68.4, 45.5, 56.7, 41.9,, 15.8, 29.0, 21.6, 12.1, 17.0,, 25.0, 32.2, 21.0, 27.0, 24.1,, 154.1, 147.9, 122.8, 138.3, 109.6,, 2.8, 3.5, 2.3, 2.8, 2.1,, 0.8, 1.5, 1.1, 0.6, 0.9,, 1.3, 1.6, 1.1, 1.3, 1.2,, 8.0, 7.5, 6.2, 6.9, 5.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nayarit,,,, 51.4, 57.8, 29.4, 58.2, 45.9,, 22.1, 29.0, 13.3, 27.9, 23.5,, 10.1, 12.7, 8.9, 4.2, 8.2,, 77.1, 91.0, 58.9, 76.5, 51.3,, 4.4, 4.7, 2.4, 4.6, 3.7,, 1.9, 2.4, 1.1, 2.2, 1.9,, 0.9, 1.0, 0.7, 0.3, 0.7,, 6.5, 7.4, 4.8, 6.1, 4.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nuevo León,,,, 32.5, 37.5, 45.8, 32.4, 31.1,, 10.6, 1.3, 10.5, 14.7, 24.1,, 57.3, 34.5, 23.8, 34.9, 17.8,, 189.1, 115.0, 164.9, 137.3, 95.9,, 0.6, 0.7, 0.8, 0.5, 0.5,, 0.2, 0.0, 0.2, 0.2, 0.4,, 1.1, 0.6, 0.4, 0.6, 0.3,, 3.6, 2.1, 2.8, 2.3, 1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oaxaca,,,, 421.6, 477.7, 522.8, 467.0, 486.3,, 53.7, 24.0, 9.6, 22.9, 25.5,, 342.2, 229.3, 227.3, 231.8, 209.0,, 553.0, 566.5, 465.7, 411.6, 354.9,, 10.8, 11.9, 12.5, 11.0, 11.4,, 1.4, 0.6, 0.2, 0.5, 0.6,, 8.7, 5.7, 5.5, 5.5, 4.9,, 14.1, 14.2, 11.2, 9.7, 8.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Puebla,,,, 259.8, 172.7, 201.4, 297.1, 270.1,, 134.0, 75.8, 115.4, 198.4, 144.0,, 61.4, 43.1, 57.4, 56.2, 15.4,, 646.1, 534.6, 428.3, 466.8, 393.7,, 4.1, 2.7, 3.0, 4.4, 4.1,, 2.1, 1.2, 1.7, 3.0, 2.2,, 1.0, 0.7, 0.9, 0.8, 0.2,, 10.2, 8.3, 6.5, 7.0, 6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Querétaro,,,, 39.0, 26.1, 32.5, 18.2, 33.1,, 6.3, 3.5, 8.9, 3.7, 4.5,, 16.2, 16.7, 11.1, 13.1, 9.8,, 163.2, 161.6, 116.2, 97.7, 89.7,, 1.8, 1.1, 1.4, 0.7, 1.3,, 0.3, 0.2, 0.4, 0.2, 0.2,, 0.8, 0.7, 0.5, 0.5, 0.4,, 7.6, 7.1, 4.8, 3.9, 3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quintana Roo,,,, 21.8, 46.4, 24.8, 25.8, 16.5,, 30.0, 48.9, 30.8, 19.5, 15.4,, 15.5, 52.5, 26.3, 44.3, 22.9,, 253.5, 320.3, 213.5, 217.3, 166.1,, 1.3, 2.6, 1.3, 1.3, 0.9,, 1.8, 2.7, 1.6, 1.0, 0.8,, 0.9, 2.9, 1.4, 2.3, 1.2,, 14.9, 17.7, 11.4, 11.3, 8.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San Luis Potosí,,,, 114.4, 119.0, 112.6, 136.9, 101.6,, 13.4, 11.2, 5.7, 13.9, 13.9,, 82.0, 60.2, 108.3, 84.8, 57.4,, 132.7, 110.0, 88.8, 92.7, 73.2,, 4.1, 4.2, 4.0, 4.8, 3.5,, 0.5, 0.4, 0.2, 0.5, 0.5,, 3.0, 2.1, 3.8, 3.0, 2.0,, 4.8, 3.9, 3.1, 3.2, 2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sinaloa,,,, 80.6, 62.8, 52.1, 58.9, 47.4,, 53.8, 52.7, 28.4, 38.3, 34.7,, 53.0, 28.0, 18.5, 34.2, 35.7,, 258.1, 179.4, 147.1, 156.6, 114.6,, 2.7, 2.1, 1.7, 1.9, 1.5,, 1.8, 1.8, 0.9, 1.2, 1.1,, 1.8, 0.9, 0.6, 1.1, 1.1,, 8.8, 6.0, 4.8, 5.1, 3.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sonora,,,, 57.1, 52.5, 68.0, 52.8, 63.6,, 43.1, 21.2, 39.8, 34.3, 20.4,, 49.6, 28.6, 37.0, 45.4, 25.8,, 165.2, 186.4, 174.3, 146.7, 140.5,, 2.0, 1.8, 2.3, 1.8, 2.1,, 1.5, 0.7, 1.3, 1.1, 0.7,, 1.7, 1.0, 1.2, 1.5, 0.8,, 5.8, 6.4, 5.9, 4.9, 4.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tabasco,,,, 65.5, 71.9, 30.4, 76.3, 48.9,, 6.3, 4.0, 3.4, 3.1, 8.5,, 93.4, 116.2, 87.2, 107.9, 66.8,, 200.8, 197.9, 163.7, 201.9, 158.8,, 2.8, 3.0, 1.3, 3.1, 1.9,, 0.3, 0.2, 0.1, 0.1, 0.3,, 4.0, 4.9, 3.6, 4.4, 2.6,, 8.6, 8.4, 6.8, 8.3, 6.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tamaulipas,,,, 45.3, 32.6, 31.6, 47.2, 30.8,, 24.7, 10.6, 11.7, 21.7, 12.8,, 43.7, 34.6, 28.1, 19.5, 17.4,, 153.9, 203.8, 142.4, 160.3, 103.0,, 1.3, 0.9, 0.9, 1.3, 0.9,, 0.7, 0.3, 0.3, 0.6, 0.4,, 1.3, 1.0, 0.8, 0.5, 0.5,, 4.5, 5.8, 4.0, 4.5, 2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tlaxcala,,,, 13.8, 9.4, 14.0, 16.5, 14.1,, 11.0, 7.5, 4.2, 6.9, 10.5,, 4.3, 4.0, 4.5, 2.9, 3.2,, 106.7, 96.1, 91.8, 92.3, 62.7,, 1.1, 0.7, 1.0, 1.2, 1.0,, 0.9, 0.6, 0.3, 0.5, 0.7,, 0.3, 0.3, 0.3, 0.2, 0.2,, 8.4, 7.4, 6.8, 6.7, 4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Veracruz de Ignacio de la Llave,,,, 545.2, 550.2, 414.5, 457.6, 401.5,, 89.7, 52.4, 54.9, 43.5, 32.0,, 279.4, 199.1, 206.4, 277.5, 327.9,, 809.4, 901.7, 751.4, 586.1, 423.1,, 7.0, 6.9, 5.1, 5.6, 5.0,, 1.1, 0.7, 0.7, 0.5, 0.4,, 3.6, 2.5, 2.5, 3.4, 4.1,, 10.3, 11.4, 9.3, 7.1, 5.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yucatán,,,, 25.1, 20.3, 23.0, 14.9, 24.2,, 26.3, 23.1, 19.2, 19.5, 31.3,, 57.0, 57.5, 38.4, 23.7, 32.7,, 280.0, 248.6, 229.1, 264.4, 202.1,, 1.2, 0.9, 1.0, 0.6, 1.0,, 1.2, 1.0, 0.8, 0.8, 1.3,, 2.6, 2.6, 1.6, 1.0, 1.4,, 12.9, 11.0, 9.8, 11.1, 8.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zacatecas,,,, 16.2, 12.6, 12.4, 9.3, 9.2,, 4.8, 12.0, 3.2, 5.7, 6.8,, 7.1, 3.4, 1.9, 13.3, 5.6,, 55.9, 63.1, 37.8, 47.4, 31.1,, 1.0, 0.8, 0.8, 0.6, 0.6,, 0.3, 0.7, 0.2, 0.4, 0.4,, 0.4, 0.2, 0.1, 0.8, 0.3,, 3.5, 3.9, 2.3, 2.9, 1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nota: ,,,"Las estimaciones para 2024 están coloreadas de acuerdo con su nivel de precisión (alta, moderada y baja), tomando como referencia el Coeficiente de Variación (CV). Una precisión baja requiere un uso cauteloso de la estimación en el que se analicen las causas de la gran variabilidad y se consideren otros indicadores de precisión y confiabilidad, como el intervalo de confianza.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"Nivel de precisión de las estimaciones, según el CV (porcentaje):",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"Alta: CV en el rango de [0,15) ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"Moderada: CV en el rango de [15,30) ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Baja: CV de 30 en adelante,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fuente: ,,,"INEGI. Pobreza multidimensional, 2024. Cálculos con base en la información de la ENIGH 2024, utilizando la metodología del CONEVAL. 
CONEVAL. Medición de la pobreza, de 2016 a 2022. Recuperado el 1 de agosto de 2025, de https://www.coneval.org.mx/Medicion/MP/Paginas/AE_pobreza_2022.aspx",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
