Entidad federativa,,,,Población,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Porcentaje,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Seguridad alimentaria,,,,,,Inseguridad alimentaria leve,,,,,,Inseguridad alimentaria moderada,,,,,,Inseguridad alimentaria severa,,,,,,Limitación en el consumo de alimentos2/,,,,,,Seguridad alimentaria,,,,,,Inseguridad alimentaria leve,,,,,,Inseguridad alimentaria moderada,,,,,,Inseguridad alimentaria severa,,,,,,Limitación en el consumo de alimentos2/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2016,2018,2020,2022,2024,,2016,2018,2020,2022,2024,,2016,2018,2020,2022,2024,,2016,2018,2020,2022,2024,,2016,2018,2020,2022,2024,,2016,2018,2020,2022,2024,,2016,2018,2020,2022,2024,,2016,2018,2020,2022,2024,,2016,2018,2020,2022,2024,,2016,2018,2020,2022,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ciudad de México,,,,6 761.4,6 743.7,5 974.9,7 164.1,7 533.2,,1 305.9,1 177.0,1 784.8,1 236.7,1 007.3,, 657.9, 872.3, 957.6, 565.8, 524.6,, 390.1, 403.3, 512.8, 337.9, 280.5,, 255.7, 194.9, 268.1, 242.7, 153.5,, 74.2, 73.3, 64.7, 77.0, 80.6,, 14.3, 12.8, 19.3, 13.3, 10.8,, 7.2, 9.5, 10.4, 6.1, 5.6,, 4.3, 4.4, 5.6, 3.6, 3.0,, 2.8, 2.1, 2.9, 2.6, 1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Durango,,,,1 092.0,1 191.6,1 166.4,1 159.0,1 359.9,, 332.9, 262.9, 337.1, 339.9, 269.3,, 189.3, 196.4, 198.7, 200.9, 129.8,, 136.0, 139.6, 147.2, 168.7, 138.1,, 9.2, 9.3, 11.0, 18.0, 16.8,, 62.4, 66.6, 63.1, 62.0, 71.7,, 19.0, 14.7, 18.2, 18.2, 14.2,, 10.8, 11.0, 10.7, 10.8, 6.8,, 7.8, 7.8, 8.0, 9.0, 7.3,, 0.5, 0.5, 0.6, 1.0, 0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guanajuato,,,,3 588.5,3 796.4,3 493.9,4 124.5,4 381.0,,1 180.1,1 020.3,1 293.8,1 071.1, 925.2,, 682.9, 727.3, 816.2, 650.6, 550.6,, 492.3, 529.4, 595.2, 431.2, 464.4,, 147.2, 161.8, 232.9, 111.0, 134.3,, 60.4, 62.5, 56.4, 65.7, 69.3,, 19.9, 16.8, 20.9, 17.1, 14.6,, 11.5, 12.0, 13.2, 10.4, 8.7,, 8.3, 8.7, 9.6, 6.9, 7.3,, 2.5, 2.7, 3.8, 1.8, 2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guerrero,,,,1 583.7,1 273.1,1 330.9,1 646.8,1 826.3,, 919.7, 984.8,1 041.2, 929.7, 851.7,, 574.4, 717.4, 756.6, 631.5, 609.0,, 391.3, 528.2, 430.0, 393.0, 317.2,, 168.5, 271.8, 205.7, 227.6, 160.6,, 45.7, 36.3, 37.4, 45.7, 50.7,, 26.5, 28.1, 29.3, 25.8, 23.6,, 16.6, 20.5, 21.3, 17.5, 16.9,, 11.3, 15.1, 12.1, 10.9, 8.8,, 4.9, 7.8, 5.8, 6.3, 4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hidalgo,,,,1 456.2,1 635.3,1 560.2,2 027.5,2 230.5,, 766.2, 715.5, 751.2, 650.7, 556.2,, 482.9, 437.8, 498.1, 261.5, 269.9,, 236.6, 253.8, 285.2, 217.5, 173.4,, 177.4, 244.8, 181.9, 217.4, 146.8,, 49.5, 53.7, 50.4, 64.2, 69.1,, 26.0, 23.5, 24.3, 20.6, 17.2,, 16.4, 14.4, 16.1, 8.3, 8.4,, 8.0, 8.3, 9.2, 6.9, 5.4,, 6.0, 8.0, 5.9, 6.9, 4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jalisco,,,,5 335.0,5 742.9,5 684.0,6 128.9,7 242.3,,1 401.9,1 236.6,1 501.1,1 248.2, 840.6,, 799.7, 737.5, 727.9, 757.7, 378.4,, 427.2, 504.7, 469.6, 366.4, 268.0,, 107.3, 129.1, 81.5, 106.3, 93.4,, 67.0, 69.9, 67.8, 72.1, 83.0,, 17.6, 15.0, 17.9, 14.7, 9.6,, 10.0, 9.0, 8.7, 8.9, 4.3,, 5.4, 6.1, 5.6, 4.3, 3.1,, 1.3, 1.6, 1.0, 1.3, 1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
México,,,,9 474.9,10 125.7,9 313.4,11 075.7,12 858.3,,3 594.6,3 375.4,4 100.9,3 304.0,2 855.7,,2 126.5,1 991.1,2 610.9,1 871.5,1 318.3,,1 302.5,1 351.3,1 047.5,1 071.6, 695.6,, 988.5, 941.0,1 062.9,1 045.9, 909.7,, 57.4, 60.1, 54.6, 63.9, 72.5,, 21.8, 20.0, 24.0, 19.1, 16.1,, 12.9, 11.8, 15.3, 10.8, 7.4,, 7.9, 8.0, 6.1, 6.2, 3.9,, 6.0, 5.6, 6.2, 6.0, 5.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michoacán de Ocampo,,,,2 310.1,2 672.7,2 725.1,2 964.9,3 228.4,,1 012.1,1 005.5,1 040.6, 942.6, 796.4,, 642.8, 604.7, 629.6, 579.5, 502.2,, 519.9, 376.5, 398.6, 455.9, 412.2,, 161.3, 152.2, 186.3, 213.8, 154.7,, 51.5, 57.4, 56.8, 60.0, 65.4,, 22.6, 21.6, 21.7, 19.1, 16.1,, 14.3, 13.0, 13.1, 11.7, 10.2,, 11.6, 8.1, 8.3, 9.2, 8.3,, 3.6, 3.3, 3.9, 4.3, 3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morelos,,,,1 096.6,1 054.1,1 058.2,1 255.3,1 330.3,, 445.6, 426.0, 460.7, 400.0, 324.7,, 260.4, 304.9, 282.6, 221.1, 216.7,, 113.1, 177.8, 174.6, 133.4, 100.3,, 66.7, 60.9, 50.0, 39.2, 25.2,, 57.2, 53.7, 53.6, 62.5, 67.5,, 23.3, 21.7, 23.3, 19.9, 16.5,, 13.6, 15.5, 14.3, 11.0, 11.0,, 5.9, 9.1, 8.8, 6.6, 5.1,, 3.5, 3.1, 2.5, 2.0, 1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nayarit,,,, 685.5, 773.9, 775.3, 887.8, 966.9,, 260.2, 217.2, 218.1, 164.3, 121.8,, 141.8, 129.1, 152.4, 118.0, 82.6,, 93.6, 101.8, 92.8, 91.8, 71.6,, 19.6, 26.4, 15.0, 10.7, 9.8,, 58.0, 63.3, 62.6, 70.4, 77.8,, 22.0, 17.8, 17.6, 13.0, 9.8,, 12.0, 10.6, 12.3, 9.4, 6.6,, 7.9, 8.3, 7.5, 7.3, 5.8,, 1.7, 2.2, 1.2, 0.8, 0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nuevo León,,,,3 778.7,4 125.2,4 153.7,4 706.7,5 040.0,, 756.5, 706.2, 877.4, 687.7, 568.4,, 395.8, 371.1, 469.4, 407.4, 312.7,, 365.8, 299.8, 356.3, 256.1, 208.3,, 35.4, 24.7, 51.6, 66.2, 48.9,, 71.3, 75.0, 70.9, 77.7, 82.2,, 14.3, 12.8, 15.0, 11.4, 9.3,, 7.5, 6.7, 8.0, 6.7, 5.1,, 6.9, 5.4, 6.1, 4.2, 3.4,, 0.7, 0.4, 0.9, 1.1, 0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oaxaca,,,,1 598.1,1 706.3,1 770.9,2 145.9,2 432.8,,1 087.8,1 179.1,1 211.3,1 122.1,1 073.7,, 729.1, 660.8, 728.0, 645.3, 494.4,, 498.8, 456.7, 457.3, 336.6, 268.2,, 318.6, 314.2, 357.7, 362.0, 378.2,, 40.8, 42.6, 42.5, 50.5, 57.0,, 27.8, 29.5, 29.1, 26.4, 25.2,, 18.6, 16.5, 17.5, 15.2, 11.6,, 12.7, 11.4, 11.0, 7.9, 6.3,, 8.1, 7.8, 8.6, 8.5, 8.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Puebla,,,,3 612.6,3 682.2,3 149.8,3 869.1,4 649.9,,1 438.7,1 443.6,1 664.4,1 561.0,1 062.4,, 773.5, 818.2,1 109.4, 835.3, 541.3,, 497.0, 531.4, 702.0, 448.9, 341.3,, 373.7, 409.5, 447.7, 389.9, 397.7,, 57.1, 56.9, 47.5, 57.6, 70.5,, 22.8, 22.3, 25.1, 23.2, 16.1,, 12.2, 12.6, 16.7, 12.4, 8.2,, 7.9, 8.2, 10.6, 6.7, 5.2,, 5.9, 6.3, 6.8, 5.8, 6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
