Entidad federativa,,,,Población,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Porcentaje,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,De 3 a 21 años que no asiste a la escuela y no cuenta con educación obligatoria1/,,,,,,De 22 años y más nacida a partir de 1998 sin educación media superior completa2/,,,De 16 años y más nacida entre 1982 y 1997 sin secundaria completa,,,,,,De 16 años y más nacida antes de 1982 sin primaria completa,,,,,,Población sin educación obligatoria3/,,,,,,,,,,,,De 3 a 21 años que no asiste a la escuela y no cuenta con educación obligatoria1/,,,,,,De 22 años y más nacida a partir de 1998 sin educación media superior completa2/,,,De 16 años y más nacida entre 1982 y 1997 sin secundaria completa,,,,,,De 16 años y más nacida antes de 1982 sin primaria completa,,,,,,Población sin educación obligatoria3/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,Inasistencia de la población de 3 a 15 años,,,,,,Inasistencia de la población de 16 a 21 años,,,,,,,,,,,,,,,,,,,,,,,,,,,Tasa de inasistencia de la población de 3 a 15 años,,,,,,Tasa de inasistencia de la población de 16 a 21 años,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2016,2018,2020,2022,2024,,2022,2024,,2016,2018,2020,2022,2024,,2016,2018,2020,2022,2024,,2016,2018,2020,2022,2024,,2016,2018,2020,2022,2024,,2016,2018,2020,2022,2024,,2022,2024,,2016,2018,2020,2022,2024,,2016,2018,2020,2022,2024,,2016,2018,2020,2022,2024,,2016,2018,2020,2022,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chihuahua,,,, 166.2, 211.7, 222.3, 217.9, 226.5,, 67.5, 113.7,, 139.7, 130.9, 112.3, 107.9, 101.6,, 309.5, 289.1, 249.1, 219.4, 203.2,, 101.6, 104.8, 105.4, 98.8, 93.4,, 64.6, 106.8, 116.9, 119.1, 133.1,, 14.9, 17.5, 17.9, 18.0, 18.1,, 32.7, 37.2,, 16.1, 15.2, 13.2, 12.6, 11.7,, 21.8, 19.9, 17.2, 15.6, 15.3,, 11.1, 12.2, 12.7, 12.2, 11.2,, 38.1, 46.6, 49.9, 50.4, 52.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ciudad de México,,,, 152.6, 237.6, 230.6, 221.9, 195.4,, 137.5, 157.5,, 165.0, 161.5, 141.0, 140.8, 131.3,, 493.8, 466.0, 454.7, 402.2, 310.8,, 78.6, 88.1, 103.3, 75.8, 89.6,, 74.0, 149.5, 127.4, 146.2, 105.7,, 7.4, 10.2, 10.2, 9.7, 9.1,, 30.7, 22.4,, 7.1, 6.8, 6.3, 6.6, 5.9,, 11.1, 10.9, 10.5, 9.5, 7.6,, 4.8, 5.6, 7.0, 5.2, 6.5,, 20.1, 30.4, 29.4, 33.1, 25.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Durango,,,, 75.0, 100.5, 103.3, 110.2, 110.5,, 37.5, 62.4,, 53.4, 48.1, 44.5, 50.7, 45.4,, 151.8, 144.1, 153.4, 135.5, 116.7,, 39.9, 38.4, 36.7, 43.4, 38.1,, 35.1, 62.0, 66.6, 66.8, 72.4,, 14.0, 16.2, 16.1, 16.6, 16.8,, 41.9, 41.7,, 12.6, 11.9, 10.7, 12.9, 11.7,, 21.8, 21.3, 22.7, 20.9, 18.7,, 9.2, 8.7, 8.1, 9.2, 8.4,, 40.0, 52.5, 58.0, 58.5, 60.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guanajuato,,,, 275.7, 392.4, 449.0, 438.2, 369.2,, 153.7, 200.1,, 306.5, 299.4, 250.9, 249.5, 217.0,, 708.1, 659.0, 671.1, 592.5, 545.0,, 136.7, 157.0, 142.2, 166.9, 125.1,, 139.0, 235.4, 306.8, 271.4, 244.1,, 14.6, 18.6, 21.6, 20.2, 17.9,, 47.7, 42.3,, 20.9, 20.1, 17.4, 17.4, 15.4,, 30.8, 30.3, 29.3, 28.1, 25.2,, 9.0, 10.2, 10.7, 10.9, 8.9,, 43.7, 57.7, 63.7, 62.0, 57.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guerrero,,,, 133.6, 180.2, 189.3, 217.3, 206.9,, 60.2, 111.9,, 211.2, 208.6, 215.4, 228.5, 214.7,, 557.6, 516.8, 515.6, 531.7, 486.5,, 58.3, 62.8, 67.8, 77.6, 76.4,, 75.3, 117.4, 121.5, 139.7, 130.5,, 11.6, 14.7, 14.5, 17.2, 16.3,, 41.8, 43.5,, 26.7, 26.4, 27.3, 29.6, 29.7,, 41.1, 39.5, 41.4, 42.4, 40.3,, 6.2, 6.9, 7.4, 8.7, 8.3,, 41.3, 48.5, 50.2, 56.2, 57.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hidalgo,,,, 99.4, 135.2, 139.3, 156.5, 114.4,, 43.5, 69.1,, 120.3, 91.2, 93.1, 102.1, 89.2,, 366.3, 374.3, 334.4, 329.2, 309.0,, 56.2, 51.8, 48.1, 57.8, 43.2,, 43.2, 83.5, 91.2, 98.7, 71.2,, 10.7, 13.5, 13.7, 15.1, 11.0,, 30.1, 31.3,, 16.9, 13.8, 13.1, 14.7, 13.0,, 31.7, 29.7, 27.8, 27.9, 25.7,, 7.2, 7.0, 7.0, 8.3, 6.4,, 34.7, 44.4, 47.8, 50.2, 37.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jalisco,,,, 326.8, 483.8, 522.6, 526.8, 534.5,, 194.2, 218.2,, 327.0, 339.7, 296.7, 348.4, 370.9,, 774.2, 766.7, 670.1, 668.5, 543.4,, 176.7, 220.2, 223.7, 215.7, 211.3,, 150.2, 263.6, 298.9, 311.1, 323.2,, 13.9, 18.2, 18.9, 19.5, 19.2,, 42.0, 34.1,, 16.8, 16.9, 15.0, 18.3, 17.3,, 23.5, 24.1, 21.2, 21.4, 18.9,, 9.2, 11.3, 11.8, 11.8, 11.4,, 40.6, 52.2, 51.8, 54.8, 53.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
México,,,, 541.9, 743.9, 769.9, 792.9, 575.2,, 292.8, 347.1,, 557.3, 562.7, 453.9, 569.2, 413.4,,1 336.1,1 172.0,1 083.2,1 176.2,1 215.7,, 294.6, 295.1, 313.6, 303.8, 206.3,, 247.4, 448.7, 456.3, 489.1, 368.9,, 10.9, 14.0, 14.1, 14.7, 11.2,, 31.3, 25.5,, 14.0, 13.5, 11.3, 13.8, 10.2,, 19.6, 17.6, 16.1, 18.3, 18.2,, 7.3, 7.9, 8.8, 8.4, 6.2,, 31.2, 43.1, 42.5, 47.9, 37.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michoacán de Ocampo,,,, 220.2, 307.5, 392.7, 345.3, 308.2,, 115.0, 172.6,, 349.7, 308.8, 307.6, 323.3, 268.5,, 705.2, 643.2, 671.3, 646.6, 521.5,, 119.4, 122.5, 153.9, 140.8, 110.4,, 100.7, 185.0, 238.8, 204.5, 197.9,, 15.8, 19.7, 23.1, 20.7, 18.6,, 51.0, 47.9,, 31.2, 28.3, 29.6, 29.2, 24.7,, 41.2, 36.4, 38.0, 37.0, 31.5,, 10.3, 10.8, 13.0, 11.9, 9.6,, 51.0, 61.5, 67.7, 62.8, 59.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morelos,,,, 67.2, 104.3, 102.4, 101.8, 89.5,, 33.2, 54.8,, 74.5, 72.9, 60.0, 62.4, 54.8,, 193.1, 202.1, 177.1, 162.2, 143.5,, 38.1, 42.3, 42.9, 33.1, 30.6,, 29.1, 61.9, 59.5, 68.7, 59.0,, 12.6, 17.1, 17.0, 16.0, 15.3,, 37.3, 36.6,, 15.2, 16.1, 13.1, 13.9, 12.5,, 23.9, 24.6, 21.7, 21.0, 19.4,, 8.8, 10.0, 10.4, 7.7, 7.8,, 33.0, 48.2, 53.3, 54.3, 53.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
